8jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
8alice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
8alice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
8alice3;[[1,2],[7,10]]
8alice  ;  [[1,10],[11,12]]
8dog; [[2,3],[17, 18]]
9khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
9eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
9eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
9zecchinos;[[3,4],[8,11],[16,18],[21,26]]
9addison;[[3,7]]
9theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
9callie;[[2,4]]
9zein;[[4,8],[11,12],[13,17],[20,22]]
9graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
9jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
9alice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
9alice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
9alice3;[[1,2],[7,10]]
9alice  ;  [[1,10],[11,12]]
9dog; [[2,3],[17, 18]]
akhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
aeli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
aeliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
azecchinos;[[3,4],[8,11],[16,18],[21,26]]
aaddison;[[3,7]]
atheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
acallie;[[2,4]]
azein;[[4,8],[11,12],[13,17],[20,22]]
agraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
ajameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
aalice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
aalice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
aalice3;[[1,2],[7,10]]
aalice  ;  [[1,10],[11,12]]
adog; [[2,3],[17, 18]]
bkhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
beli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
beliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
bzecchinos;[[3,4],[8,11],[16,18],[21,26]]
baddison;[[3,7]]
btheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
bcallie;[[2,4]]
bzein;[[4,8],[11,12],[13,17],[20,22]]
bgraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
bjameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
balice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
balice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
balice3;[[1,2],[7,10]]
balice  ;  [[1,10],[11,12]]
bdog; [[2,3],[17, 18]]
ckhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
celi;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
celiana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
czecchinos;[[3,4],[8,11],[16,18],[21,26]]
caddison;[[3,7]]
ctheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
ccallie;[[2,4]]
czein;[[4,8],[11,12],[13,17],[20,22]]
cgraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
cjameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
calice1;[[1,3],[5,10],[12,16],[17,18],[21,23]]
calice2;[[1,3],[5,10],[12,16],[17,18],[21,23]]
calice3;[[1,2],[7,10]]
calice  ;  [[1,10],[11,12]]
cdog; [[2,3],[17, 18]]
dkhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
deli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
deliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
dzecchinos;[[3,4],[8,11],[16,18],[21,26]]
daddison;[[3,7]]
